user_id,price,location,bedrooms,property_id,action
90,3769625,Adama,1,166,save
18,1842868,Adama,3,158,buy
54,2015817,AddisAbaba,2,166,view
31,2108284,AddisAbaba,5,193,save
84,3281967,AddisAbaba,2,349,save
34,3531965,BahirDar,1,193,click
80,1557644,BahirDar,3,325,click
41,2096143,AddisAbaba,2,375,click
12,2605843,Adama,5,243,save
90,3538717,BahirDar,1,176,view
23,3567988,DireDawa,5,304,view
53,1974436,AddisAbaba,5,185,buy
49,1137204,Adama,2,340,view
84,2984604,Adama,5,448,buy
77,2518836,BahirDar,3,272,view
72,1634594,DireDawa,1,165,view
13,2735761,Hawassa,5,416,buy
45,3128849,Adama,2,127,click
97,3911820,AddisAbaba,3,210,view
47,3513711,Hawassa,1,265,click
52,2546822,Adama,3,197,save
12,2141049,Adama,4,378,buy
19,3235449,Adama,5,381,view
71,3500096,Adama,2,210,buy
85,1249142,BahirDar,4,367,click
94,2117120,AddisAbaba,2,148,click
64,3851731,BahirDar,3,390,view
47,824688,Hawassa,5,140,buy
66,953562,BahirDar,5,244,buy
23,3366010,DireDawa,2,257,save
89,1914811,AddisAbaba,3,433,view
65,815678,Hawassa,2,411,save
7,3891633,Hawassa,1,229,save
15,3446221,BahirDar,5,232,click
91,2579453,Hawassa,5,328,view
79,2458650,Hawassa,5,207,buy
44,3435142,Adama,4,200,buy
68,2020547,AddisAbaba,3,240,buy
6,2986325,Adama,1,233,view
46,3328194,Hawassa,1,427,buy
22,3040586,Adama,2,443,click
94,2425709,DireDawa,3,270,click
97,3410987,BahirDar,2,347,buy
37,3712067,AddisAbaba,5,239,click
46,3500568,BahirDar,5,118,view
6,2848233,DireDawa,4,109,save
48,3343963,BahirDar,2,412,buy
36,3639286,AddisAbaba,2,241,view
66,2944170,AddisAbaba,1,448,view
51,1923449,DireDawa,3,177,buy
51,1228752,BahirDar,1,394,view
26,3847809,BahirDar,2,277,buy
35,3430513,BahirDar,4,413,view
27,2977587,Adama,2,287,click
72,2114104,DireDawa,4,120,save
13,1378747,BahirDar,5,301,view
23,3020945,AddisAbaba,1,260,view
2,3143908,DireDawa,2,254,view
3,1389490,AddisAbaba,5,498,save
39,2377123,Hawassa,5,317,click
3,3592257,DireDawa,4,184,save
48,2009413,Hawassa,3,339,buy
6,3116652,Hawassa,5,283,save
76,3137474,Hawassa,3,312,buy
46,1523650,Adama,1,280,view
67,3243618,BahirDar,3,273,save
95,3046700,DireDawa,4,449,view
2,3419948,Adama,4,254,click
28,1531386,Adama,4,270,click
39,3777270,AddisAbaba,3,279,save
76,2125357,AddisAbaba,3,416,view
48,3118034,Adama,3,284,click
9,1368201,BahirDar,3,461,buy
36,2257721,BahirDar,5,130,buy
37,3485118,DireDawa,2,455,view
87,1012448,Hawassa,2,238,click
98,2979201,Adama,3,414,buy
95,2444778,Adama,1,266,view
72,1162907,Hawassa,5,400,save
52,2291812,BahirDar,3,379,save
69,2919160,DireDawa,2,255,save
9,1882524,BahirDar,1,171,save
64,2198442,BahirDar,5,317,view
52,2084872,DireDawa,5,463,view
100,2801968,DireDawa,3,305,save
76,3427442,BahirDar,4,465,buy
6,1698318,Hawassa,1,405,buy
34,2306568,DireDawa,3,319,click
89,3612083,BahirDar,5,440,view
21,1921451,DireDawa,5,148,click
10,2149452,BahirDar,3,232,buy
80,1043185,AddisAbaba,1,101,save
23,3786045,DireDawa,5,180,buy
54,2836278,AddisAbaba,5,122,view
94,2379985,DireDawa,5,386,click
90,1171958,Hawassa,3,330,click
49,2965535,Hawassa,1,415,view
43,3120519,DireDawa,5,311,view
26,2611774,BahirDar,2,201,view
22,2561526,BahirDar,2,207,view
1,3493256,Adama,1,372,view
42,2695118,BahirDar,2,190,view
62,2946990,AddisAbaba,1,434,click
66,3169433,Adama,3,457,view
58,2581394,Hawassa,3,468,click
26,2915077,Hawassa,3,447,view
31,1958783,Hawassa,1,245,buy
26,1783824,AddisAbaba,3,335,save
71,2349923,DireDawa,1,169,buy
73,3211918,BahirDar,5,135,view
3,3876225,DireDawa,3,364,buy
35,3554446,DireDawa,4,213,buy
93,1503802,BahirDar,4,221,click
30,1170608,Adama,4,206,click
40,1151855,AddisAbaba,5,446,click
48,3749454,Hawassa,1,122,save
68,1608778,Hawassa,4,190,click
75,1748668,Hawassa,5,258,view
56,3162731,AddisAbaba,2,410,view
7,1318976,AddisAbaba,5,103,click
98,2253047,BahirDar,2,247,buy
17,3218696,AddisAbaba,2,320,buy
95,1128862,AddisAbaba,4,203,buy
