user_id,price,location,bedrooms,property_id,action
23,865024,DireDawa,1,179,click
51,2922715,Hawassa,4,336,save
66,3259788,Adama,5,497,save
78,879990,AddisAbaba,2,409,click
12,2759592,DireDawa,2,453,buy
10,3439682,AddisAbaba,1,274,buy
41,3579410,Hawassa,5,244,buy
70,1846313,DireDawa,4,424,buy
45,3439535,Adama,1,248,click
3,2954518,Adama,2,149,click
31,2988685,Hawassa,1,238,click
57,1744210,Adama,5,258,save
15,1791191,DireDawa,3,277,buy
54,1358125,Adama,4,216,click
18,2472103,Hawassa,2,294,save
27,1775353,AddisAbaba,5,377,save
37,2557021,BahirDar,5,420,click
88,2612494,Adama,4,389,view
57,3829810,Adama,2,339,click
71,2528680,BahirDar,1,482,view
93,3193782,AddisAbaba,2,334,view
34,1501275,Hawassa,5,114,buy
20,2648685,Adama,5,487,buy
10,2798022,BahirDar,2,276,view
46,3825078,Hawassa,3,301,click
79,3729679,Hawassa,1,431,save
43,3021737,DireDawa,2,293,save
1,2919967,AddisAbaba,2,246,buy
37,1376934,AddisAbaba,1,195,click
59,3774139,Adama,3,229,buy
23,3198565,BahirDar,5,375,view
34,2918449,Hawassa,3,452,buy
17,3412890,Adama,5,180,buy
89,2958970,BahirDar,3,428,buy
88,2762516,DireDawa,2,326,click
80,3493143,Hawassa,5,208,buy
1,2588483,DireDawa,1,280,save
29,3527299,BahirDar,3,148,click
31,906786,BahirDar,1,380,view
56,1903718,Adama,1,204,save
51,1290450,BahirDar,4,153,view
2,3107470,DireDawa,1,114,click
99,951938,Hawassa,3,362,view
71,3136809,AddisAbaba,4,170,view
89,2635614,AddisAbaba,3,317,save
40,2335511,Adama,1,203,save
33,2104104,Hawassa,4,437,click
93,3143495,DireDawa,4,397,view
66,3857109,Adama,1,223,buy
59,1021113,DireDawa,5,146,view
55,1504679,DireDawa,2,325,buy
92,2159662,Hawassa,3,435,click
20,3796225,Adama,1,263,save
20,1258064,AddisAbaba,3,396,buy
47,1231676,Hawassa,3,383,click
9,2904194,BahirDar,5,398,click
45,3316694,AddisAbaba,3,461,buy
33,3496005,Hawassa,1,495,view
16,1808142,AddisAbaba,4,292,save
75,1259416,DireDawa,2,403,view
61,1335887,DireDawa,2,114,view
35,3568552,Adama,3,451,view
54,3401170,Adama,4,336,view
29,1238205,Adama,1,103,view
85,3907863,AddisAbaba,3,479,save
41,1971944,AddisAbaba,3,436,view
32,2011013,Hawassa,5,110,buy
14,3841652,DireDawa,3,498,click
85,3657054,Hawassa,1,267,save
27,1711024,AddisAbaba,3,141,click
56,3718585,BahirDar,2,301,buy
100,3021877,AddisAbaba,2,202,view
90,3804643,Adama,2,313,buy
39,3089061,DireDawa,5,486,view
70,2881528,Hawassa,2,318,save
